image,psnr,ssim,is_outlier_by_psnr_floor
baboon.png,12.6945,0.0974,0
barbara.png,14.3060,0.1548,0
bridge.png,13.6097,0.1365,0
coastguard.png,15.7967,0.1540,0
comic.png,12.4007,0.2049,0
face.png,16.6588,0.2426,0
flowers.png,15.1829,0.2175,0
foreman.png,18.2464,0.4057,0
lenna.png,16.2313,0.1433,0
man.png,14.8808,0.1965,0
monarch.png,19.5221,0.4497,0
pepper.png,18.9926,0.2312,0
ppt3.png,17.0582,0.6700,0
zebra.png,15.2016,0.2436,0

AVG,15.7702,0.2534,
AVG(psnr>=10),15.7702,0.2534,dropped=0
