image,psnr,ssim,is_outlier_by_psnr_floor
baby.png,31.0951,0.8610,0
bird.png,29.6702,0.8814,0
butterfly.png,21.2559,0.7284,0
head.png,30.5864,0.7448,0
woman.png,25.8517,0.8355,0

AVG,27.6918,0.8102,
AVG(psnr>=10),27.6918,0.8102,dropped=0
