image,psnr,ssim,lpips,is_outlier_by_psnr_floor
baby.png,25.2851,0.7448,0.1915,0
bird.png,27.6159,0.8491,0.1247,0
butterfly.png,20.8612,0.7827,0.1656,0
head.png,28.6464,0.7157,0.2547,0
woman.png,24.7210,0.8333,0.1226,0

AVG,25.4259,0.7851,0.1718,
AVG(psnr>=10),25.4259,0.7851,0.1718,dropped=0
