image,psnr,ssim
baby.png,26.5446,0.7872
bird.png,27.1740,0.8488
butterfly.png,19.5413,0.7617
head.png,29.9880,0.7327
woman.png,24.4148,0.8363

AVG,25.5326,0.7933
