model,avg_psnr,avg_ssim,avg_psnr_filtered,avg_ssim_filtered,avg_lpips_filtered,kept_count,dropped_count
Bicubic,27.6918,0.8102,27.6918,0.8102,,5,0
RealESRGAN_x4plus,25.4259,0.7851,25.4259,0.7851,,5,0
realesr-general-x4v3,25.5326,0.7933,25.5326,0.7933,,5,0
