model,avg_psnr,avg_ssim,avg_psnr_filtered,avg_ssim_filtered,avg_lpips_filtered,kept_count,dropped_count
Bicubic,24.6329,0.6648,24.6329,0.6648,,100,0
ESRGAN_x4,15.9418,0.2670,15.9418,0.2670,,100,0
RealESRGAN_x4plus,23.4753,0.6194,23.4753,0.6194,,100,0
realesr-general-x4v3,23.7871,0.6369,23.7871,0.6369,,100,0
